#alt_asm_name	prim_asm_name	alt_scaf_name	parent_type	parent_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
Haplotigs	Primary_Assembly	000000F_001	SCAFFOLD	Phyram_PR-102_s0006	+	9	96975	168985	266016	8	9
Haplotigs	Primary_Assembly	000000F_002	SCAFFOLD	Phyram_PR-102_s0006	+	2	148802	266027	407785	1	9
Haplotigs	Primary_Assembly	000000F_004	SCAFFOLD	Phyram_PR-102_s0006	+	1	452090	432979	876296	0	20
Haplotigs	Primary_Assembly	000000F_005	SCAFFOLD	Phyram_PR-102_s0006	+	3	165411	876317	1038727	2	1
Haplotigs	Primary_Assembly	000000F_006	SCAFFOLD	Phyram_PR-102_s0006	+	4	529227	1084671	1615453	3	9
Haplotigs	Primary_Assembly	000000F_007	SCAFFOLD	Phyram_PR-102_s0006	+	1	265501	1615463	1863569	0	15
Haplotigs	Primary_Assembly	000000F_008	SCAFFOLD	Phyram_PR-102_s0006	+	0	502423	303969	2861150	0	24
Haplotigs	Primary_Assembly	000000F_009	SCAFFOLD	Phyram_PR-102_s0006	+	2	160558	2311552	2448142	1	33
Haplotigs	Primary_Assembly	000000F_011	SCAFFOLD	Phyram_PR-102_s0006	+	4	244143	2449132	2657553	3	3
Haplotigs	Primary_Assembly	000000F_012	SCAFFOLD	Phyram_PR-102_s0006	+	20	270331	1664942	2929656	19	2
Haplotigs	Primary_Assembly	000000F_013	SCAFFOLD	Phyram_PR-102_s0006	+	9	281762	2929667	3198042	8	4
Haplotigs	Primary_Assembly	000000F_014	SCAFFOLD	Phyram_PR-102_s0006	+	5	196861	3198051	3396010	4	2
Haplotigs	Primary_Assembly	000000F_015	SCAFFOLD	Phyram_PR-102_s0006	+	2	213797	3396014	3611739	1	5
Haplotigs	Primary_Assembly	000001F_001	SCAFFOLD	Phyram_PR-102_s0003	+	6	63089	2506833	2570346	5	2
Haplotigs	Primary_Assembly	000001F_003	SCAFFOLD	Phyram_PR-102_s0003	+	7	738192	2760982	3591039	6	9
Haplotigs	Primary_Assembly	000001F_004	SCAFFOLD	Phyram_PR-102_s0003	+	1	685559	1596273	4624230	0	91
Haplotigs	Primary_Assembly	000001F_005	SCAFFOLD	Phyram_PR-102_s0003	+	4021	72264	4247873	4374554	4020	1
Haplotigs	Primary_Assembly	000001F_006	SCAFFOLD	Phyram_PR-102_s0003	+	4	85109	4374559	4468907	3	8
Haplotigs	Primary_Assembly	000001F_007	SCAFFOLD	Phyram_PR-102_s0003	+	6	670568	2844981	5133159	5	4
Haplotigs	Primary_Assembly	000002F_002	SCAFFOLD	Phyram_PR-102_s0001	+	1	14314	3337601	3351999	0	5
Haplotigs	Primary_Assembly	000002F_003	SCAFFOLD	Phyram_PR-102_s0001	+	5	306915	1561067	3693030	4	108
Haplotigs	Primary_Assembly	000002F_004	SCAFFOLD	Phyram_PR-102_s0001	+	6	55084	3895403	3950520	5	7
Haplotigs	Primary_Assembly	000002F_005	SCAFFOLD	Phyram_PR-102_s0001	+	8	108935	3950535	4064131	7	0
Haplotigs	Primary_Assembly	000002F_006	SCAFFOLD	Phyram_PR-102_s0001	+	24	152121	4074387	4225154	23	5
Haplotigs	Primary_Assembly	000002F_007	SCAFFOLD	Phyram_PR-102_s0001	+	4	375800	87753	4608002	3	2
Haplotigs	Primary_Assembly	000002F_008	SCAFFOLD	Phyram_PR-102_s0001	+	9	514113	1473036	5111720	8	6
Haplotigs	Primary_Assembly	000002F_009	SCAFFOLD	Phyram_PR-102_s0001	+	9	448557	5111735	5572252	8	1
Haplotigs	Primary_Assembly	000003F_001	SCAFFOLD	Phyram_PR-102_s0007	+	17	65863	1158684	1224631	16	2
Haplotigs	Primary_Assembly	000003F_002	SCAFFOLD	Phyram_PR-102_s0007	+	3	578234	1224636	2413645	2	0
Haplotigs	Primary_Assembly	000003F_003	SCAFFOLD	Phyram_PR-102_s0007	+	3	461614	1773687	2224043	2	5
Haplotigs	Primary_Assembly	000003F_004	SCAFFOLD	Phyram_PR-102_s0007	+	7	269706	1325182	2476185	6	10
Haplotigs	Primary_Assembly	000003F_005	SCAFFOLD	Phyram_PR-102_s0007	+	4	169033	2476200	2643283	3	7
Haplotigs	Primary_Assembly	000003F_006	SCAFFOLD	Phyram_PR-102_s0007	+	3	46326	2643293	2689555	2	4
Haplotigs	Primary_Assembly	000003F_008	SCAFFOLD	Phyram_PR-102_s0007	+	3	113918	2808806	2925353	2	15
Haplotigs	Primary_Assembly	000003F_009	SCAFFOLD	Phyram_PR-102_s0007	+	5	365062	2925376	3295492	4	8
Haplotigs	Primary_Assembly	000003F_011	SCAFFOLD	Phyram_PR-102_s0007	+	0	24048	3328625	3352866	0	5
Haplotigs	Primary_Assembly	000004F_001	SCAFFOLD	Phyram_PR-102_s0002	+	0	1020473	2195266	3257372	0	1
Haplotigs	Primary_Assembly	000004F_002	SCAFFOLD	Phyram_PR-102_s0002	+	9	353802	3257382	3599864	8	5
Haplotigs	Primary_Assembly	000004F_003	SCAFFOLD	Phyram_PR-102_s0002	+	8	643916	630998	4285872	7	8
